before,tuek_ku,after,length,repeat
PBPPBP,PPBBPPBBBBPPPPBB,BBBBBP,16,4
BBPPPB,PPBBPPBBBBPP,PPPPBB,12,3
PPBBBB,BBPPBBPPBBPP,BPBBBB,12,3
BBBBBP,BBPPPPBBPPBB,BBPBPP,12,3
BPPBPB,PPBBBBPPPPBB,BPPPBB,12,3
PBBPBP,PPBBPPBBBBPP,BPPPBP,12,3
PBPBBB,BBPPPPBBBBPP,BBPBBP,12,3
BPBBBB,BBPPBBPPPPBB,PBPBBP,12,3
PPBBPP,PPBBPPBBBBPP,PBBBPP,12,3
BBBBBB,BBPPPPBBBBPP,BPPPBB,12,3
BBPPPB,BBPPBBPPPPBB,BPBBBB,12,3
PPPPBP,PPBBPPBBBBPP,PBBPPB,12,3
BBPBPP,PPBBBBPPPPBB,PPBPBP,12,3
BBBBBP,BBPPPPBBBBPP,BPPBPB,12,3
PPBBPB,PPBBPPBBBBPP,PPPPBP,12,3
BBBPBP,PPBBBBPPPPBB,PPPPPP,12,3
PPBBBB,BBPPPPBBPPBB,PBBPPB,12,3
PBPBPB,PPBBBBPPPPBB,PPBPPB,12,3
BPPBBP,PPBBBBPPBBPP,BBBBBB,12,3
BBPBPB,BBPPPPBBBBPPPPBB,BBBBBB,16,4
PPBBPP,PPBBBBPPPPBB,PBPPBB,12,3
BBPPBP,PPBBBBPPBBPP,PBBPBP,12,3
PPBBPB,BBPPPPBBBBPPPPBB,PBPPBB,16,4
PPPBPB,PPBBPPBBBBPP,PPBPBB,12,3
BPPPBB,BBPPPPBBBBPP,PBBPPP,12,3
PBBPBP,PPBBPPBBBBPP,BPPBBP,12,3
PBBPPB,BBPPPPBBPPBBBBPP,BPBPPP,16,4
PPPBBB,PPBBBBPPBBPP,BBBPBB,12,3
BPPBBB,PPBBBBPPPPBB,BPPBPB,12,3
BBPBBP,BBPPBBPPPPBB,BPBBPP,12,3
PPBBPB,PPBBBBPPBBPP,BBBBPB,12,3
PBBPPB,PPBBBBPPPPBBBBPPBBPP,PPBPPP,20,5
BBBBBB,BBPPBBPPBBPP,BPPPPP,12,3
BBBPPB,BBPPBBPPBBPP,PPPPBP,12,3
PPBBPP,PPBBPPBBPPBB,PPPBPP,12,3
BPBBPB,PPBBBBPPPPBB,PBPPPP,12,3
BPPPBP,BBPPPPBBPPBB,PBPPBB,12,3
PPBBPB,BBPPBBPPPPBB,PBPPPB,12,3
BPBPPB,PPBBPPBBBBPP,BPPBPB,12,3
PBPBBB,BBPPBBPPPPBB,BPPBBP,12,3
BBBBPB,BBPPPPBBPPBB,BPPPBB,12,3
PPPPPB,PPBBBBPPPPBB,PBBPPB,12,3
PPPBPB,BBPPBBPPPPBB,PBBBPB,12,3
BBPPPB,PPBBBBPPBBPP,PPBPBB,12,3
PPPBPB,PPBBPPBBPPBB,BBBPBB,12,3
PBPBBP,BBPPBBPPBBPPBBPP,BBBBBP,16,4
BPPBBB,BBPPPPBBPPBBBBPP,PBPBBP,16,4
PPPBBP,BBPPPPBBPPBB,PBBBBP,12,3
PBPBBB,BBPPBBPPPPBB,BPPBPB,12,3
BPPPBP,PPBBBBPPPPBB,BBBBPP,12,3
PBBPBB,BBPPBBPPPPBB,BPPBBB,12,3
PBBBBB,BBPPPPBBPPBB,PPPPPP,12,3
PPBBBB,BBPPBBPPBBPP,PPPPPP,12,3
PBBPPP,PPBBBBPPPPBB,BBPBBP,12,3
PPBBBB,BBPPPPBBPPBB,BBBPBP,12,3
PPBBBB,BBPPPPBBPPBB,BBBPBP,12,3
PBPPBP,BBPPPPBBBBPP,BBBPPP,12,3
PPPPPB,PPBBBBPPBBPP,PBPBBP,12,3
PBPPBP,BBPPBBPPBBPP,BPBBPP,12,3
PBBPBB,BBPPPPBBBBPP,PBPBBP,12,3
BBBPBB,BBPPBBPPBBPP,BBBPPB,12,3
PPPBBP,PPBBPPBBPPBB,BPBPPB,12,3
PBBBPB,BBPPPPBBBBPP,PPPPPB,12,3
BBBPBP,PPBBBBPPPPBBBBPP,PBBPBP,16,4
PBBBPB,PPBBBBPPBBPP,BBBPPP,12,3
PPBBPB,BBPPPPBBPPBB,BBBPPP,12,3
PPBBPB,BBPPPPBBPPBB,BBBPPP,12,3
PBBPPP,PPBBBBPPBBPP,PBBPBP,12,3
BBPBPP,PPBBBBPPBBPPBBPP,PPPPBB,16,4
BPBPPP,PPBBBBPPBBPP,BPBBBP,12,3
PPPBPB,PPBBBBPPPPBB,PPPPPP,12,3
BBPPBP,BBPPBBPPPPBB,PPPBBP,12,3
BBBBBB,BBPPPPBBBBPP,BBBBPB,12,3
PPPBPB,PPBBBBPPPPBB,PPPPPP,12,3
PPPBBP,BBPPBBPPPPBB,BBBBPB,12,3
BBBBBP,BBPPPPBBPPBB,BPBBPP,12,3
BBBPPB,PPBBBBPPPPBB,BPPPPP,12,3
BBBPPB,PPBBBBPPBBPP,PBPBPP,12,3
BBBBPB,BBPPPPBBPPBB,PBPBBB,12,3
BPBPPB,PPBBPPBBBBPP,BPBPBB,12,3
BBBPPP,PPBBPPBBBBPP,PPPPPP,12,3
PPPBBB,PPBBBBPPBBPPBBPP,PBPBPP,16,4
BPPBBB,BBPPBBPPPPBB,BPBBBB,12,3
BBBPPP,BBPPBBPPBBPP,PBBPPP,12,3
BPPPBP,PPBBBBPPBBPP,PPPBBB,12,3
PBBBPB,BBPPPPBBBBPP,PPBPBB,12,3
PPBPPB,PPBBBBPPPPBB,PPPPBP,12,3
PBBPBP,PPBBPPBBPPBB,PPPPPB,12,3
PPPBBB,PPBBPPBBPPBB,BBPBBP,12,3
PBPPPP,PPBBBBPPBBPP,PPBPPP,12,3
PPPPBP,PPBBBBPPPPBB,BBBBPP,12,3
BPBPBB,BBPPPPBBPPBB,BBPBPB,12,3
BBPBPB,PPBBPPBBBBPP,BBBBPB,12,3
BBPPPP,PPBBBBPPPPBBBBPP,PPPPBB,16,4
PBBPBP,PPBBPPBBPPBB,BPPPBB,12,3
PPBPBB,BBPPPPBBBBPPBBPP,PPPPBB,16,4
PPBBPB,BBPPBBPPBBPP,BPPPBP,12,3
PPPBPP,PPBBBBPPPPBB,BBBPPB,12,3
PPBBPB,BBPPPPBBPPBB,BBPBPP,12,3
BPPBBB,PPBBPPBBPPBB,BPPPPP,12,3
PPPBBB,BBPPPPBBPPBB,PBBBBP,12,3
PPBBBB,BBPPBBPPBBPP,PPBPBP,12,3
PPPPPP,PPBBPPBBBBPP,PBBBPB,12,3
PPBPBP,PPBBBBPPBBPP,BPPBBB,12,3
PBPPBP,PPBBBBPPPPBB,PPPPBP,12,3
BPPBBP,BBPPPPBBPPBB,PPBPPB,12,3
BBPBBP,BBPPBBPPPPBBPPBBPPBB,PPPBBP,20,5
PPPBPB,PPBBBBPPPPBB,PBPPPP,12,3
BPBBBB,BBPPBBPPBBPP,PBBPBP,12,3
BBPPBP,PPBBBBPPBBPP,BBPBPP,12,3
BBPPBP,PPBBBBPPBBPP,BBPBPP,12,3
BBPPPP,PPBBBBPPBBPP,BBPBPP,12,3
BBPBPB,PPBBBBPPPPBB,BPBBBB,12,3
PBBBPB,PPBBBBPPBBPP,PBBBBB,12,3
PBPBBB,BBPPPPBBBBPP,BBBBPP,12,3
PBBPPP,BBPPPPBBPPBB,PPPPPP,12,3
BBBBPB,PPBBPPBBBBPP,PBPBBP,12,3
PPPBPB,PPBBPPBBPPBB,PPBPBB,12,3
PPBBPB,PPBBBBPPPPBBPPBB,PPPBBB,16,4
PBBPPB,BBPPBBPPPPBBBBPP,BBBBPB,16,4
BPBPPP,PPBBPPBBPPBB,PBPBBP,12,3
PBPBPP,PPBBBBPPBBPP,BPBPPB,12,3
PBPPPB,PPBBPPBBBBPP,BBBPPP,12,3
BBPPBP,PPBBPPBBPPBB,BPPPPP,12,3
PPBBBB,BBPPPPBBBBPP,PPBPBP,12,3
BPPPBP,PPBBPPBBBBPP,PPPBBP,12,3
BPPBBP,PPBBPPBBBBPP,BPPPBB,12,3
BBPPBP,PPBBPPBBBBPP,BBBBPP,12,3
BBPPBP,PPBBPPBBBBPP,BBBBPP,12,3
BBPBPB,BBPPBBPPBBPP,BPBBPB,12,3
PBPBPB,BBPPBBPPBBPP,PPPBBP,12,3
PBBPPP,PPBBPPBBPPBB,BPPPPP,12,3
PPPBBP,PPBBPPBBBBPP,PPPBBP,12,3
BBBBBB,BBPPPPBBPPBB,BBPBPP,12,3
PPPBBB,BBPPBBPPBBPP,BBPBPP,12,3
BPPPBP,PPBBBBPPPPBBBBPP,PPPPPP,16,4
BPPBPB,PPBBBBPPPPBB,PPPBPB,12,3
BPPPPB,PPBBPPBBPPBB,BPPBPB,12,3
BBPBPB,PPBBPPBBPPBB,BPPPBP,12,3
PPPBBB,PPBBBBPPPPBB,BPBBPP,12,3
BPPBBP,PPBBPPBBPPBB,PPPPPP,12,3
BPPBBB,BBPPPPBBBBPPPPBB,PBBBBB,16,4
PPPBPB,PPBBPPBBBBPP,PBBBPP,12,3
PPBPBP,PPBBBBPPPPBB,PBPBBP,12,3
PPBPBP,PPBBBBPPPPBB,PBPBBP,12,3
PBPBBP,BBPPPPBBBBPP,BBBPBB,12,3
PBPBPB,PPBBBBPPBBPP,BBBPPB,12,3
PBBPPB,PPBBPPBBPPBB,BBPBBB,12,3
BPBBBP,BBPPPPBBBBPPPPBB,BPBBBP,16,4
BBBBBP,BBPPBBPPPPBBPPBB,PBBBPP,16,4
BPBPBP,BBPPBBPPBBPP,PPBPPP,12,3
PPBBPB,BBPPBBPPPPBB,PBPPPB,12,3
BBPBPB,BBPPBBPPPPBB,BBPBPP,12,3
BPPPBP,PPBBPPBBBBPPBBPP,PPBPBB,16,4
PBBPBP,BBPPPPBBPPBB,BPPPPP,12,3
BPPPBP,PPBBPPBBBBPP,BBBBPP,12,3
PPPBBP,BBPPBBPPPPBB,PBBBBP,12,3
BPBPBB,BBPPBBPPPPBB,PPPBBP,12,3
BPBPBB,BBPPBBPPPPBB,PPPBBP,12,3
PBBPPP,BBPPPPBBBBPP,PPPPPP,12,3
BBBPPB,PPBBBBPPPPBB,PBPBPB,12,3
PPPBBP,BBPPPPBBPPBB,PBBBBB,12,3
PPPBBP,BBPPPPBBPPBB,PBBBBB,12,3
BBBPPB,BBPPBBPPBBPP,BBBPBB,12,3
PBBBBB,BBPPPPBBBBPP,PPPPBP,12,3
PBBPPB,PPBBPPBBBBPP,PBBPPP,12,3
BBBPPP,BBPPPPBBBBPP,BPPPBP,12,3
BBBPBB,BBPPPPBBPPBB,PBBBPP,12,3
BPBBBB,BBPPPPBBBBPPBBPP,PBBPPB,16,4
PBPPBP,PPBBBBPPPPBB,BPPPBP,12,3
BBBPBB,BBPPBBPPBBPPPPBB,PBBBPB,16,4
PBPBPP,PPBBPPBBPPBB,PPBPBB,12,3
PBBBPB,BBPPPPBBBBPP,BPBPPB,12,3
BPBPBP,BBPPPPBBPPBB,PPPBPB,12,3
BBBBBB,BBPPPPBBBBPP,BPBPPB,12,3
PPBBBP,BBPPBBPPBBPP,PBPBBB,12,3
PBPPBP,BBPPPPBBBBPP,PBBPBP,12,3
BBPBPB,PPBBPPBBBBPP,BBBPBP,12,3
BBPPPB,PPBBBBPPBBPP,PBPPPP,12,3
PPBPPP,PPBBPPBBBBPP,PPBPPB,12,3
BPPBPP,PPBBBBPPBBPP,BPBBBP,12,3
PPPPPP,PPBBPPBBPPBB,PPPBBP,12,3
BBBPPP,PPBBBBPPBBPP,BBPBPB,12,3
BBBPPP,BBPPBBPPPPBB,PBPBBP,12,3
PBBBBB,BBPPPPBBPPBB,PPPPBP,12,3
PPPBBP,PPBBPPBBPPBB,BBBBPP,12,3
PPBPPB,PPBBBBPPBBPP,PPPPBP,12,3
BBBPBB,BBPPPPBBBBPP,BBBPPP,12,3
PBBPBP,PPBBPPBBPPBB,BPBPPB,12,3
PPPBPB,BBPPBBPPPPBB,PPPPBB,12,3
BBBPBB,BBPPBBPPBBPPBBPP,PBPPPB,16,4
BBPPPB,PPBBBBPPPPBB,PBBBBB,12,3
BBBPPB,PPBBBBPPPPBB,BPPPPB,12,3
BBPBBP,BBPPPPBBBBPP,PPPBPB,12,3
BBPBBP,BBPPPPBBBBPP,PPPBPB,12,3
PPPBBB,PPBBPPBBBBPP,PBBPBP,12,3
PPPBBB,PPBBPPBBBBPP,PBBPBP,12,3
PPPBBB,PPBBPPBBBBPP,PBBPBP,12,3
PBBPPP,PPBBPPBBBBPP,BBBPBP,12,3
BBBBBB,BBPPBBPPBBPP,BPBBPB,12,3
PPBBPB,BBPPPPBBPPBB,BBBBBP,12,3
PBBPBB,BBPPPPBBBBPP,PBBPBB,12,3
PBPBPP,PPBBBBPPBBPP,PBBPPB,12,3
PBPPBP,BBPPBBPPPPBBPPBB,PPPBPB,16,4
BBBBBP,BBPPPPBBPPBB,BPPPPB,12,3
PBPBBP,BBPPPPBBBBPPBBPP,PBBBBB,16,4
PBBPPB,BBPPBBPPBBPP,BBBBBB,12,3
BBPBBB,BBPPBBPPBBPP,BPPBBP,12,3
PPPPBP,PPBBPPBBPPBBPPBB,PBPBPP,16,4
PBBPBB,BBPPPPBBPPBB,PBPBPB,12,3
BPPBPP,PPBBPPBBPPBB,BPPPPP,12,3
BPPBBP,BBPPPPBBPPBB,PBBPBP,12,3
BBPBBB,BBPPBBPPPPBB,PPPBPB,12,3
BBBBPB,PPBBPPBBPPBB,BPBBPB,12,3
BPBBBP,BBPPPPBBPPBB,PBBBBP,12,3
PPPBPP,PPBBBBPPBBPP,BBPBBB,12,3
PPPBBB,PPBBPPBBBBPP,BBPBPP,12,3
PPBBPB,PPBBBBPPBBPP,BPBPPB,12,3
BPBPPP,PPBBPPBBPPBB,BPBBBP,12,3
PBPBBP,BBPPPPBBBBPP,BPBPPP,12,3
BBBPBP,BBPPBBPPBBPP,PBBPBP,12,3
PBBBPB,PPBBBBPPBBPPBBPP,BPBPBP,16,4
PBPBBB,BBPPPPBBBBPP,BPPBBB,12,3
PBBBPB,BBPPPPBBPPBB,BPBPBB,12,3
PBPPBP,BBPPPPBBBBPP,BBBPPP,12,3
PBBPPP,PPBBBBPPPPBB,BPPPPB,12,3
BBBPPP,BBPPPPBBPPBB,PBPBBB,12,3
BPPBPB,PPBBBBPPBBPPPPBB,PBPBPP,16,4
PBBPPB,BBPPBBPPPPBBPPBB,BBBPBP,16,4
BPBPBB,BBPPBBPPBBPP,BBBBBP,12,3
BPBPBB,BBPPPPBBPPBB,BPPBPB,12,3
PBBPBP,PPBBPPBBBBPP,PPPPPP,12,3
BBPBBB,BBPPPPBBBBPP,PPPPBB,12,3
PBPPPB,PPBBBBPPBBPP,BBBBBB,12,3
BPPBBB,BBPPBBPPBBPPBBPP,BBPBPP,16,4
BPPBBB,BBPPBBPPBBPPBBPP,BBPBPP,16,4
PPBBBB,BBPPPPBBBBPP,BBBPBB,12,3
BBBPPP,PPBBPPBBBBPP,BPBPBB,12,3
PPPBBP,BBPPBBPPPPBB,BBBBBB,12,3
PPPBBP,BBPPBBPPPPBB,BBBBBB,12,3
BBBBPB,BBPPPPBBBBPP,BPPPPB,12,3
PPPPPB,PPBBBBPPBBPP,PPPBBB,12,3
BBPPPP,PPBBPPBBBBPP,BPBBPP,12,3
BBPPPP,PPBBPPBBBBPP,BPBBPP,12,3
BPBPBP,BBPPPPBBBBPP,PBPBPP,12,3
PBBBBP,BBPPBBPPPPBB,PBBPBB,12,3
PPPBBB,BBPPBBPPPPBB,PBPPPP,12,3
PBPBBB,BBPPPPBBPPBB,BPPPBP,12,3
BPBPBB,BBPPPPBBPPBB,BBBBPP,12,3
PBPPPP,PPBBPPBBBBPP,BPBPPP,12,3
BBPBBP,BBPPPPBBBBPP,BPPPPP,12,3
BBPBBP,BBPPPPBBBBPP,BPPPPP,12,3
BBPPPB,PPBBBBPPPPBB,BPPPPP,12,3
BPPBPB,PPBBBBPPPPBB,PBPPPB,12,3
BPPBBB,BBPPBBPPPPBB,PPPPBB,12,3
PBBPPB,BBPPPPBBPPBB,BPPBBP,12,3
PPPPBP,BBPPBBPPPPBB,PBPPBP,12,3
PBBBPB,BBPPBBPPPPBB,PBPPBP,12,3
PPBBBP,BBPPPPBBBBPP,BBBBPB,12,3
BBPPBP,PPBBPPBBBBPP,BBBPBB,12,3
BPBPPB,PPBBPPBBBBPP,BBBPPP,12,3
PBPPPP,PPBBPPBBBBPP,BBBBPB,12,3
PBBPPP,BBPPPPBBBBPP,PPBPBP,12,3
PBBPPP,BBPPPPBBBBPP,PPBPBP,12,3
BPPBBB,PPBBBBPPBBPP,BPPBPB,12,3
PBPBPP,PPBBPPBBBBPP,BBBPBP,12,3
BBBBPB,BBPPPPBBBBPP,BPPBBP,12,3
BBBBPB,BBPPPPBBBBPP,BPPBBP,12,3
PBPPBP,BBPPPPBBBBPPPPBBPPBB,PPPPPP,20,5
PBPPBP,BBPPPPBBBBPPPPBBPPBB,PPPPPP,20,5
PBPPBP,BBPPPPBBBBPPPPBBPPBB,PPPPPP,20,5
PPBBPP,PPBBPPBBBBPP,PPPBPB,12,3
BBBPPP,BBPPPPBBBBPP,PBPBBB,12,3
PPPBPP,PPBBBBPPBBPP,PPPPPB,12,3
BBPPBP,PPBBBBPPPPBB,PBPBPB,12,3
PPBPBB,BBPPBBPPBBPPPPBB,PBBPPB,16,4
PPPBPP,PPBBBBPPPPBB,BPPBPP,12,3
BPPPBB,BBPPPPBBPPBB,BBBBBB,12,3
BPPPPB,PPBBPPBBPPBB,BPPPBP,12,3
BBPPBP,PPBBPPBBPPBB,BPPPPP,12,3
BBPPPP,PPBBBBPPPPBB,PPPBBB,12,3
PPBBPB,BBPPBBPPPPBB,BPBBPB,12,3
BBBBBP,BBPPBBPPPPBB,BPBPPP,12,3
BPBPPB,PPBBBBPPBBPP,BBBPBB,12,3
BPBPBP,PPBBBBPPPPBBBBPP,BBPBPB,16,4
PBPPPB,PPBBPPBBBBPP,BBBPBB,12,3
BPPPPP,PPBBBBPPPPBB,BBBBPB,12,3
BPPBBP,PPBBPPBBBBPPBBPPBBPP,PPPPPB,20,5
PPBBBB,BBPPPPBBPPBB,BPPPBB,12,3
BBBPPP,PPBBPPBBPPBB,PBPPPP,12,3
PPBPBP,BBPPBBPPPPBB,BBBPBP,12,3
PPBPPP,PPBBBBPPBBPP,BPPPBP,12,3
BPPBPB,PPBBPPBBPPBB,PBBPPP,12,3
BBPBPB,BBPPBBPPPPBB,PPPBBP,12,3
PBBPPB,BBPPBBPPPPBB,BBBBPB,12,3
PBBPBB,BBPPBBPPBBPP,BPBPPP,12,3
PPPPPB,PPBBPPBBBBPP,BBBPBP,12,3
BPPPBP,PPBBPPBBPPBB,PPPBPP,12,3
PPPBBB,BBPPBBPPBBPP,BBBPBB,12,3
PPBPPB,PPBBBBPPPPBB,PBPBPB,12,3
BBPPPB,PPBBBBPPPPBB,PPBPBB,12,3
BBBPBP,PPBBBBPPBBPP,BPBBBP,12,3
BBBPBP,PPBBBBPPBBPP,BPBBBP,12,3
BBBPBP,PPBBBBPPBBPP,BPBBBP,12,3
PPPBPB,BBPPPPBBBBPP,PBPBBP,12,3
BBBPPP,BBPPBBPPPPBB,BBBBBP,12,3
BBBPPP,BBPPBBPPPPBB,BBBBBP,12,3
PPPPBP,BBPPBBPPPPBBPPBB,PPPPPP,16,4
PPBBPB,BBPPPPBBBBPP,PPPPPP,12,3
BBPBPB,BBPPPPBBBBPPPPBB,BPPBBB,16,4
PPBPBP,PPBBBBPPBBPP,BBBBPP,12,3
PPBPBP,PPBBBBPPBBPP,BBBBPP,12,3
PPBBPB,PPBBBBPPPPBB,PBBBPP,12,3
BPPBPB,BBPPBBPPBBPP,PPBPPP,12,3
PPBBPB,PPBBPPBBBBPP,BPBPBP,12,3
PBBPPB,BBPPBBPPPPBB,BBBPPB,12,3
PPBPBP,BBPPBBPPBBPPBBPP,BPPPPP,16,4
BBBBPB,PPBBBBPPBBPPPPBB,BPBPBP,16,4
BBPPPB,PPBBPPBBPPBB,BPBBPP,12,3
BPPPBP,BBPPBBPPPPBB,BBPBBP,12,3
BBPBBB,BBPPBBPPPPBB,BPBBBP,12,3
PPBPBB,BBPPPPBBPPBBBBPP,PPPBPP,16,4
PPBPBB,BBPPPPBBPPBBBBPP,PPPBPP,16,4
BPBBBB,BBPPPPBBPPBB,BBBPBB,12,3
BPBBBB,BBPPPPBBPPBB,BBBPBB,12,3
BBPPPB,PPBBPPBBBBPP,BPBPPB,12,3
PBPBPB,BBPPBBPPPPBB,BBPBPB,12,3
BPBPPB,PPBBPPBBPPBB,PBPBPB,12,3
BBPBBB,BBPPPPBBBBPP,BBPBBB,12,3
BBPBBB,BBPPPPBBBBPP,BBPBBB,12,3
PPPPPB,PPBBPPBBPPBB,BPPBPP,12,3
PBBPBP,PPBBPPBBBBPP,PPBPPP,12,3
PBPPBP,BBPPPPBBPPBB,PBBBPB,12,3
BBBPPP,PPBBBBPPBBPP,BPBBPB,12,3
PPBBBB,BBPPBBPPBBPP,BPBBBP,12,3
BBBBPB,PPBBPPBBPPBB,BPPBPP,12,3
BBPBPP,PPBBBBPPPPBB,BPBBPB,12,3
PPPBPP,PPBBBBPPBBPP,BPPPPP,12,3
PBPBPP,PPBBBBPPPPBB,BPBPPB,12,3
PPBBBB,BBPPPPBBPPBB,PBBBPB,12,3
BBBBBB,BBPPPPBBBBPP,BPBPBP,12,3
BPBBBP,BBPPBBPPPPBB,PBBBBP,12,3
BPBBBP,BBPPBBPPPPBB,PBBBBP,12,3
PPPBBB,BBPPPPBBBBPP,BBBBBB,12,3
BPPBPB,PPBBBBPPPPBB,BBBBBB,12,3
BBBPBP,PPBBPPBBBBPP,PBBBPB,12,3
PBBPBP,PPBBBBPPBBPP,BBBPBP,12,3
PBBPBP,PPBBBBPPBBPP,BBBPBP,12,3
BBPBBB,BBPPPPBBPPBB,PPPPBP,12,3
PPBBPB,PPBBBBPPPPBB,PBBPBP,12,3
BPPBPP,PPBBBBPPBBPP,BPBPPP,12,3
PPPBBB,PPBBPPBBPPBB,BPPPBP,12,3
PBBPBB,BBPPBBPPBBPP,BBPBBP,12,3
PPBBBP,BBPPPPBBPPBB,BPBBPB,12,3
PPPBBP,PPBBBBPPBBPP,BPPBPB,12,3
BBBPBP,BBPPBBPPBBPP,BPPPPP,12,3
PBBBPB,PPBBPPBBPPBBBBPP,BBPBPP,16,4
BPBBBB,BBPPPPBBBBPP,BPBBBP,12,3
BBPBPB,BBPPPPBBBBPP,PBBPBB,12,3
BBPBPB,BBPPPPBBBBPP,PBBPBB,12,3
BBBBBB,BBPPBBPPPPBB,PBBPBB,12,3
PPPPPB,PPBBPPBBBBPP,PBBBBB,12,3
PBPBPP,PPBBBBPPPPBB,BBBPPB,12,3
BPBBPB,BBPPPPBBBBPP,PBBPBB,12,3
PBPPPP,PPBBPPBBBBPP,PBPPBP,12,3
PBPPPP,PPBBPPBBBBPP,PBPPBP,12,3
PPPBBB,BBPPBBPPPPBB,BBBPBP,12,3
PBBPBP,BBPPPPBBPPBB,PBBPPB,12,3
PPBPBP,PPBBPPBBPPBBPPBB,PPBPPB,16,4
PPBPBP,PPBBPPBBPPBBPPBB,PPBPPB,16,4
PPPBPB,PPBBPPBBBBPPBBPP,BBBPBP,16,4
PBBPPB,BBPPBBPPBBPP,BBBPBP,12,3
PPBPBP,BBPPBBPPPPBB,BPBBPP,12,3
BPBBPB,BBPPPPBBPPBB,BPBPBP,12,3
BBBBPB,BBPPBBPPBBPP,PBPBPB,12,3
PBBPBP,PPBBBBPPBBPP,PBBBBB,12,3
PBPBPB,PPBBBBPPBBPP,PPPPBB,12,3
PPBBBP,BBPPBBPPBBPP,PPPPPB,12,3
PPBPBB,BBPPBBPPBBPP,PBPPPB,12,3
PPBBPB,BBPPBBPPPPBBPPBBPPBB,BBBBPP,20,5
PPPBBP,BBPPPPBBBBPP,BBBPBP,12,3
BPBPPB,PPBBBBPPPPBB,PBPBPP,12,3
BPPBBB,BBPPPPBBBBPP,PBBBPP,12,3
PPPPBP,BBPPPPBBBBPPBBPP,PBPPBB,16,4
PBPPPB,PPBBBBPPPPBB,PPPBPB,12,3
PBPBBP,BBPPBBPPPPBB,BPBPBB,12,3
BPBPPB,PPBBPPBBBBPP,BPBPBP,12,3
BBBPBB,BBPPBBPPPPBB,PBPPBB,12,3
PBBBBP,BBPPBBPPBBPP,BBPBBP,12,3
PBBPBB,BBPPPPBBBBPPPPBB,BPBPBB,16,4
BPPPBP,BBPPBBPPBBPP,BPBBBP,12,3
BBBPPP,BBPPBBPPPPBB,PBBBBP,12,3
BPBPBB,BBPPBBPPPPBB,BPBBPP,12,3
