before,no_column,after,length
BBPPBP,PBPBPBPBPB,BBBPPB,10
PBBBBB,BPBPBPBPBP,BPBPPB,10
BPPBPB,BPBPBPBPBP,BBPPPP,10
PPBBBP,PBPBPBPBPB,PPPPBB,10
PBPPPB,BPBPBPBPBP,PPBPPP,10
PPPBPB,BPBPBPBPBP,PBPBBP,10
PPBPPB,BPBPBPBPBP,PBPBPP,10
BBPBPB,BPBPBPBPBP,PBBPBB,10
BPBPPB,BPBPBPBPBP,PPBPPP,10
PPPPBP,PBPBPBPBPB,PBPBBP,10
BBPBPB,BPBPBPBPBP,PBBBPB,10
BPPBPB,BPBPBPBPBP,PBBBPB,10
BBPBBP,PBPBPBPBPB,PBPPBP,10
PBBBPB,BPBPBPBPBP,BBBPBB,10
BBPPBB,BPBPBPBPBP,PBPPPP,10
PPPBBB,BPBPBPBPBP,PBBPPP,10
BBPPBP,PBPBPBPBPB,PPPPBP,10
BBPPPB,BPBPBPBPBP,BPBPBB,10
PBPPPP,PBPBPBPBPB,PPBBPB,10
BBBBBB,BPBPBPBPBP,BBBBBP,10
PPBPPB,BPBPBPBPBP,PBPPPP,10
BBBBPB,BPBPBPBPBP,PPPBBP,10
BPBBBP,PBPBPBPBPB,BBPBBP,10
PBPPPP,PBPBPBPBPB,BPPPBP,10
PBBBBB,BPBPBPBPBP,PPPBBP,10
BPPPBB,BPBPBPBPBP,BBBPBB,10
PPPPBP,PBPBPBPBPB,PPPBBP,10
PPPBBB,BPBPBPBPBP,BPBPPB,10
BPBBPP,PBPBPBPBPB,PBPPBP,10
BBBPBB,BPBPBPBPBP,PPPPPB,10
PBPBPP,PBPBPBPBPB,PPPPBB,10
PBPPPB,BPBPBPBPBP,BPBBPB,10
BBPPBB,BPBPBPBPBP,PBPPBP,10
PPBPPB,BPBPBPBPBP,PBBBBP,10
PPBPPB,BPBPBPBPBP,PPBBBP,10
PBBPBB,BPBPBPBPBP,PBBBBP,10
BPBPBB,BPBPBPBPBP,BPBPPB,10
BBBPBB,BPBPBPBPBP,PPBPBB,10
PBPBPP,PBPBPBPBPB,PBBPBP,10
BPBBPB,BPBPBPBPBP,PBBBBP,10
BBBBBP,PBPBPBPBPB,BPBPPP,10
PBBPBB,BPBPBPBPBP,BPBBBP,10
PBPBBB,BPBPBPBPBP,BBPBPP,10
PBPBBB,BPBPBPBPBP,BBPPPP,10
PBBPPP,PBPBPBPBPB,PPBBPP,10
BPPBPP,PBPBPBPBPB,PPPPPP,10
BPPBPB,BPBPBPBPBP,PPPBPP,10
BBBBPB,BPBPBPBPBP,BBPPPB,10
PPBBBP,PBPBPBPBPB,PBBBBB,10
PPBBBB,BPBPBPBPBP,BPPPBB,10
PBPPBB,BPBPBPBPBP,PBBBPP,10
BBBPBB,BPBPBPBPBP,PBBBPB,10
BPBPPP,PBPBPBPBPB,BPBBPB,10
PBBPBB,BPBPBPBPBP,BPBPBB,10
PPPBPP,PBPBPBPBPB,PPPPPB,10
PPBBBB,BPBPBPBPBP,BBBBBP,10
PPPPBB,BPBPBPBPBP,PPPPBP,10
PPBBBB,BPBPBPBPBP,BPPPBP,10
PBBPBB,BPBPBPBPBP,BBPBBB,10
PPBBPB,BPBPBPBPBP,BPPBBP,10
PPBBPB,BPBPBPBPBP,BPPBBP,10
PPBBPP,PBPBPBPBPB,PPBBPP,10
PPPBBP,PBPBPBPBPB,PPPBBB,10
BPBPBP,PBPBPBPBPB,PBBPPP,10
PBBBBP,PBPBPBPBPB,PBBPBP,10
PPPBPP,PBPBPBPBPB,PBBPPB,10
BBPPBP,PBPBPBPBPB,BPPBBB,10
PPBBBP,PBPBPBPBPB,PBPPPP,10
PPBBPB,BPBPBPBPBP,PBPBBB,10
BPPBPP,PBPBPBPBPB,PPBPPB,10
PPBPBB,BPBPBPBPBP,PBBPPB,10
BPPBBP,PBPBPBPBPB,BPBBBB,10
BPPBPP,PBPBPBPBPB,BPPBBB,10
BPPBBB,BPBPBPBPBP,BPBPPB,10
BPPPPP,PBPBPBPBPB,BBBPPP,10
BBBBBP,PBPBPBPBPB,BPBBBB,10
BBBBBP,PBPBPBPBPB,BBBPPP,10
BPBPBP,PBPBPBPBPB,BPBBBP,10
PBPPPB,BPBPBPBPBP,BPBPPP,10
PBPBPP,PBPBPBPBPB,PBBBPB,10
PBPBPP,PBPBPBPBPB,PBBBPB,10
BPBPPB,BPBPBPBPBP,PPPPBP,10
PPBBBP,PBPBPBPBPB,PBPBBP,10
BBPBPB,BPBPBPBPBP,PPBBBB,10
BPBBBB,BPBPBPBPBP,BPBBPB,10
PBBPPB,BPBPBPBPBP,BPBPPP,10
BBBPPP,PBPBPBPBPB,PBBPPB,10
PPBBBP,PBPBPBPBPB,PPPBBB,10
PPPPBB,BPBPBPBPBP,PPPPPB,10
BPPPBB,BPBPBPBPBP,PPPPPB,10
PPPPBP,PBPBPBPBPB,BPBBBP,10
PPPPBP,PBPBPBPBPB,BPBBBP,10
PPPBPB,BPBPBPBPBP,PPPBPP,10
BPBBPP,PBPBPBPBPB,BPBPBP,10
BBBBPP,PBPBPBPBPB,PBBBBB,10
BPPPBP,PBPBPBPBPB,PPBBPP,10
BBPBBP,PBPBPBPBPB,BPPBPB,10
PPBBBP,PBPBPBPBPB,PPBBPB,10
BBBPBB,BPBPBPBPBP,BPPPBP,10
PPBBBB,BPBPBPBPBP,PBPBBB,10
PPBBBP,PBPBPBPBPB,BBPBPP,10
BBPPPP,PBPBPBPBPB,PPBBBB,10
PBPPPP,PBPBPBPBPB,BPBPBP,10
BPPPPB,BPBPBPBPBP,BBPBBB,10
PPBBBP,PBPBPBPBPB,PPPBBB,10
PPPPBB,BPBPBPBPBP,PPPPBP,10
BPBBPB,BPBPBPBPBP,BPBBBP,10
BPPBBP,PBPBPBPBPB,PPPPBP,10
PPPBBP,PBPBPBPBPB,BPPPBB,10
BBBPPB,BPBPBPBPBP,PPPPBP,10
BPBBBP,PBPBPBPBPB,BBPPPB,10
PPPBBB,BPBPBPBPBP,PPBBBP,10
PBPPBB,BPBPBPBPBP,PPPBPB,10
PPBBPB,BPBPBPBPBP,PBPPPB,10
BPBBPP,PBPBPBPBPB,BPPBBB,10
BBBPPP,PBPBPBPBPB,PPBBPB,10
BBPBPB,BPBPBPBPBP,BBBPPB,10
BBBBPB,BPBPBPBPBP,BPBBPB,10
BPBPPP,PBPBPBPBPB,PPBPBP,10
BPPPBB,BPBPBPBPBP,BPBBPB,10
BPPBBP,PBPBPBPBPB,PPBPBP,10
PBPBPB,BPBPBPBPBP,BPPPPP,10
PPBBBP,PBPBPBPBPB,BBBBBB,10
PPBBBB,BPBPBPBPBP,PBPPBP,10
PPPPBB,BPBPBPBPBP,BPBPBP,10
BBBBPB,BPBPBPBPBP,PPBPBB,10
BPPBBB,BPBPBPBPBP,PPPBPP,10
PPPPBB,BPBPBPBPBP,BBPBBP,10
PPPBPP,PBPBPBPBPB,BPPBPP,10
PPBBBB,BPBPBPBPBP,PPBBPP,10
PBPPBB,BPBPBPBPBP,BBBBPB,10
PPPPBB,BPBPBPBPBP,BPPBBB,10
BBBBBB,BPBPBPBPBP,BBBBPB,10
PBBPPP,PBPBPBPBPB,BPPBPP,10
PPBPBB,BPBPBPBPBP,BPPBPB,10
PBPPPP,PBPBPBPBPB,BPBPBB,10
BPPPBP,PBPBPBPBPB,BBBPBP,10
BBPBPP,PBPBPBPBPB,PBPBBB,10
PBPPBB,BPBPBPBPBP,PBBBPB,10
PPBBBP,PBPBPBPBPB,PBBBPP,10
BPPPBB,BPBPBPBPBP,BBBPPB,10
PBPBBB,BPBPBPBPBP,BBPPBP,10
BBPPBB,BPBPBPBPBP,PPPBPB,10
BBBBBB,BPBPBPBPBP,PPPBPP,10
PBPBBP,PBPBPBPBPB,PPPBPB,10
PPBBPP,PBPBPBPBPB,BPBPPB,10
PBPBPP,PBPBPBPBPB,BPPPBP,10
PPBPPP,PBPBPBPBPB,BBPPPP,10
PPBPPB,BPBPBPBPBP,PBPBBP,10
PPBPPB,BPBPBPBPBP,PBPBBP,10
BPPPBB,BPBPBPBPBP,BBBBPB,10
BPPPBB,BPBPBPBPBP,BBBBPB,10
BPPBPB,BPBPBPBPBP,BPPBBB,10
BPPBPB,BPBPBPBPBP,BPPBBB,10
BPPBPB,BPBPBPBPBP,BPPBBB,10
BBBPBP,PBPBPBPBPB,BPBPBP,10
PPBBBB,BPBPBPBPBP,PBBBPP,10
PPPPBB,BPBPBPBPBP,PBBPBP,10
BPPPPB,BPBPBPBPBP,BBBBBB,10
BBBBBP,PBPBPBPBPB,PBPPBP,10
PPPBBB,BPBPBPBPBP,PPBPBP,10
PBBPPP,PBPBPBPBPB,BPBBBB,10
PPPBPB,BPBPBPBPBP,PPPBPB,10
BBBBBB,BPBPBPBPBP,BBBBBP,10
BBBBPB,BPBPBPBPBP,PBBBPP,10
PPPPPP,PBPBPBPBPB,BPPPPP,10
BPPBBB,BPBPBPBPBP,PPPPPP,10
PBBPPB,BPBPBPBPBP,PBBPPP,10
PPPBPP,PBPBPBPBPB,BPPBPB,10
BBBPPB,BPBPBPBPBP,PPPPBB,10
BBPPBB,BPBPBPBPBP,BPPBPB,10
PPPBBP,PBPBPBPBPB,BPBBBP,10
PPPBBP,PBPBPBPBPB,BPBBBP,10
PPBBPB,BPBPBPBPBP,PPBPPB,10
PPBBPB,BPBPBPBPBP,PPBPPB,10
BPBPBB,BPBPBPBPBP,BBBPBB,10
PPBBBB,BPBPBPBPBP,PBPPBP,10
PPPBPP,PBPBPBPBPB,PBBPBB,10
BPPBPB,BPBPBPBPBP,BPPPPB,10
BPBPPP,PBPBPBPBPB,PPPBPP,10
PPBBPP,PBPBPBPBPB,PPPPPP,10
PBBPPP,PBPBPBPBPB,PBPBBP,10
PBBPPP,PBPBPBPBPB,PBPBBP,10
PBBPBP,PBPBPBPBPB,PPBBPP,10
PBBBBB,BPBPBPBPBP,PPPBPP,10
PPBPBB,BPBPBPBPBP,PPPBBP,10
PBPPPB,BPBPBPBPBP,BPPPBP,10
BPBPPP,PBPBPBPBPB,BPBBPB,10
BPBPPP,PBPBPBPBPB,BPBBPB,10
PPBBPP,PBPBPBPBPB,BBPBPB,10
BPPBBB,BPBPBPBPBP,BBBPPP,10
BPPBPP,PBPBPBPBPB,PBBPPB,10
PBPBBB,BPBPBPBPBP,BPPPPP,10
BPPPPB,BPBPBPBPBP,PPPBPB,10
BBPPPB,BPBPBPBPBP,BBPPPB,10
BBPPBB,BPBPBPBPBP,BPBBBP,10
PPBBBB,BPBPBPBPBP,BBBPPP,10
BPPPBP,PBPBPBPBPB,PBBPPP,10
BBBPBB,BPBPBPBPBP,BBBBBP,10
BPBPBB,BPBPBPBPBP,PBBPPB,10
BBBPPB,BPBPBPBPBP,PBPPPP,10
BBBPPB,BPBPBPBPBP,PBPPPP,10
BBBPPB,BPBPBPBPBP,PBPPPP,10
BPPBPP,PBPBPBPBPB,PBBPPP,10
PPBBBB,BPBPBPBPBP,PBPPPB,10
BBPBPP,PBPBPBPBPB,BBPPBB,10
BPPPBB,BPBPBPBPBP,PBBBBP,10
PPPPPP,PBPBPBPBPB,BBBBPP,10
PPPBPB,BPBPBPBPBP,PBPPBB,10
PPBBPB,BPBPBPBPBP,PBPBPB,10
BBBPPB,BPBPBPBPBP,PBBBBP,10
BBBPPB,BPBPBPBPBP,PPBBPB,10
BBPBPP,PBPBPBPBPB,BBPPPB,10
PPPPBP,PBPBPBPBPB,BBBBBP,10
PPPBPP,PBPBPBPBPB,PPPPPB,10
BPPBPB,BPBPBPBPBP,PPBBPB,10
PBBBBB,BPBPBPBPBP,PBPPBB,10
BPBBBP,PBPBPBPBPB,PBBPPB,10
BPPPPB,BPBPBPBPBP,BPBPBP,10
PBBBBP,PBPBPBPBPB,PPPPBP,10
PPPPPB,BPBPBPBPBP,BBBBBP,10
PBPPBB,BPBPBPBPBP,BPBPBP,10
PPBBBB,BPBPBPBPBP,BBPBPB,10
PPBPBP,PBPBPBPBPB,BPBPPB,10
PPPBBB,BPBPBPBPBP,BBPPBP,10
PPPBBB,BPBPBPBPBP,BBBPBB,10
PPBPBB,BPBPBPBPBP,BPBBPP,10
PBPBPP,PBPBPBPBPB,PBPPPB,10
BPPPPP,PBPBPBPBPB,PBPBPB,10
PBPBPB,PBPBPBPBPB,PPBPBB,10
PPPPBP,PBPBPBPBPB,PPBBPP,10
BPBPPB,BPBPBPBPBP,PBBBPB,10
BPPPPB,BPBPBPBPBP,PBBBBB,10
PBBBBP,PBPBPBPBPB,PBBBBP,10
BPPBPB,BPBPBPBPBP,BPBPBP,10
PPPPPP,PBPBPBPBPB,BBBPPB,10
BBBPPB,BPBPBPBPBP,BPPBBP,10
PPBPBP,PBPBPBPBPB,BPBBBP,10
PBBBPP,PBPBPBPBPB,PBPBBB,10
BPBPPB,BPBPBPBPBP,PPPPBP,10
BPBPPB,BPBPBPBPBP,PPPPBP,10
BBBBPB,BPBPBPBPBP,PBPPPB,10
PBBPPP,PBPBPBPBPB,BPBPBB,10
BPPBBP,PBPBPBPBPB,BBPBBB,10
BBPBBP,PBPBPBPBPB,PPPPPB,10
BBBPBB,BPBPBPBPBP,PPBBPB,10
PBPPPB,BPBPBPBPBP,PBBBPB,10
BBPBPB,BPBPBPBPBP,PBPBBP,10
PBPBBP,PBPBPBPBPB,BPBPPB,10
BBPPBP,PBPBPBPBPB,PPBBPP,10
BBPPPB,BPBPBPBPBP,BPPBBP,10
BPBPBB,BPBPBPBPBP,BPBPPB,10
PPBBBP,PBPBPBPBPB,PPPBBB,10
PPBPPP,PBPBPBPBPB,PBBPPB,10
BPPPBB,BPBPBPBPBP,BBPBBB,10
BPPPBB,BPBPBPBPBP,BBPBBB,10
BPPBPB,BPBPBPBPBP,PBBBPP,10
BPPBPP,PBPBPBPBPB,BPBPBP,10
PPPPBB,BPBPBPBPBP,BBPPBP,10
PPPBPB,BPBPBPBPBP,PBBPPP,10
BPBBBB,BPBPBPBPBP,BBPBPP,10
BPBBPP,PBPBPBPBPB,BPBPPP,10
BBPPBP,PBPBPBPBPB,BBPBPB,10
PPPPPB,BPBPBPBPBP,BBPBBP,10
BPPBPB,BPBPBPBPBP,BPPBBP,10
PBBPBB,BPBPBPBPBP,PBBBPP,10
BBBBPP,PBPBPBPBPB,BBBPPP,10
BBPBPP,PBPBPBPBPB,BPPBPP,10
BPPPPP,PBPBPBPBPB,BBBBPP,10
BPBBBB,BPBPBPBPBP,BBBBBP,10
BBBBPP,PBPBPBPBPB,BBBPPP,10
PBBPBP,PBPBPBPBPB,BPBBBB,10
BPPBPP,PBPBPBPBPB,BPBBPB,10
BPBBBB,BPBPBPBPBP,BBPBBP,10
PBBPPB,BPBPBPBPBP,PPPPBB,10
BBPPPP,PBPBPBPBPB,PPBBBP,10
PPBBBB,BPBPBPBPBP,BBBBPP,10
PBBBBB,BPBPBPBPBP,BPBPBB,10
PPBBBP,PBPBPBPBPB,BBPBBB,10
BBBPBB,BPBPBPBPBP,BBBBBB,10
PBBPPP,PBPBPBPBPB,BBBBPP,10
PPBPBB,BPBPBPBPBP,PBBBPP,10
BBBBBP,PBPBPBPBPB,PBBBPP,10
BBBPPP,PBPBPBPBPB,BBBBPP,10
PBPPBB,BPBPBPBPBP,BPBBBP,10
BPPPBP,PBPBPBPBPB,PBPBPP,10
BBBBPP,PBPBPBPBPB,BBBBBP,10
PPPBPB,BPBPBPBPBP,BBPBBP,10
PBPPBP,PBPBPBPBPB,BPBPBP,10
PPPPBB,BPBPBPBPBP,BBPPBP,10
BPBBPB,BPBPBPBPBP,PBPPPP,10
BBBBPB,BPBPBPBPBP,BBPPBP,10
BPPBPB,BPBPBPBPBP,BBPPBB,10
BPPPBP,PBPBPBPBPB,PBBBPP,10
BPPPBB,BPBPBPBPBP,PBBPPP,10
BBPBBB,BPBPBPBPBP,PBBPPB,10
BBPPPP,PBPBPBPBPB,BBBBBP,10
BPBBPB,BPBPBPBPBP,PPBPPP,10
BBBBPB,BPBPBPBPBP,BPBBBB,10
PPBPBP,PBPBPBPBPB,BPBBPP,10
BPBPPB,BPBPBPBPBP,BPPPPB,10
BBPPPP,PBPBPBPBPB,PPPBBP,10
BBBPPP,PBPBPBPBPB,PBBPBB,10
BPPBBB,BPBPBPBPBP,PBBBBP,10
PPBPPP,PBPBPBPBPB,BBBBPB,10
PPBPPP,PBPBPBPBPB,BBBBPB,10
PPBBPP,PBPBPBPBPB,PPBPPP,10
BBPPBB,BPBPBPBPBP,PBBPPB,10
BBPPBB,BPBPBPBPBP,PBBPPB,10
PPPPPB,BPBPBPBPBP,PPPPBP,10
PBBBBP,PBPBPBPBPB,PPPBBP,10
BBBBPP,PBPBPBPBPB,PPPBPB,10
BPPBBB,BPBPBPBPBP,PBBBPP,10
PBPBBP,PBPBPBPBPB,PPBBPB,10
PPPBBB,BPBPBPBPBP,PPPPPB,10
PPPBBB,BPBPBPBPBP,PPPPPB,10
PPBBBB,BPBPBPBPBP,PPBPBB,10
BPBBBP,PBPBPBPBPB,PPPPPB,10
BPBBPP,PBPBPBPBPB,BBBPPB,10
BPBBPP,PBPBPBPBPB,BBBPPB,10
PBBBBP,PBPBPBPBPB,PPBBPB,10
PPBPPB,BPBPBPBPBP,BPBPBB,10
BBPBBP,PBPBPBPBPB,PPBPBP,10
BBPBPP,PBPBPBPBPB,PPPPBP,10
BBBPBP,PBPBPBPBPB,PBBBPP,10
PBPPBB,BPBPBPBPBP,BBBBPP,10
BPPBPP,PBPBPBPBPB,BPPPBB,10
PPPBPP,PBPBPBPBPB,PBBBPB,10
PBPPPB,BPBPBPBPBP,BPPPBB,10
PPBBBP,PBPBPBPBPB,BBPBBB,10
PPPBPP,PBPBPBPBPB,PBPPPB,10
BPBPPB,BPBPBPBPBP,BPPBBB,10
BPPPPB,BPBPBPBPBP,PBPBPB,10
BPBPBP,PBPBPBPBPB,PBBBPB,10
PPBBPP,PBPBPBPBPB,PPPPPB,10
PPBPPB,BPBPBPBPBP,BPPPPP,10
BBBBBP,PBPBPBPBPB,BPBBBP,10
BBBPPP,PBPBPBPBPB,PBBBBP,10
BBPPPP,PBPBPBPBPB,BBPPPP,10
PPBBBB,BPBPBPBPBP,PPBBBB,10
BBBBBB,BPBPBPBPBP,BPPBBB,10
BBBBBB,BPBPBPBPBP,PBBBPB,10
BPBBPB,BPBPBPBPBP,PBBBBB,10
BPBPBB,BPBPBPBPBP,PPBBBP,10
BBBBBP,PBPBPBPBPB,PBBPBB,10
PBPBPP,PBPBPBPBPB,PBBPPB,10
BBPPBB,BPBPBPBPBP,PBBPBB,10
PBPBBP,PBPBPBPBPB,BPPBBP,10
PPBBPB,BPBPBPBPBP,BBPPBP,10
PBBBPP,PBPBPBPBPB,PBPBBB,10
PBBBBB,BPBPBPBPBP,PPBBBP,10
PPBPPB,BPBPBPBPBP,BPPBPB,10
PPPBPP,PBPBPBPBPB,PPBPBB,10
PPPBBP,PBPBPBPBPB,PBPPPB,10
BBPPBP,PBPBPBPBPB,PPBBPP,10
PPPBPP,PBPBPBPBPB,BBBBPB,10
PBPPPB,BPBPBPBPBP,PPPBPB,10
PPPBBB,BPBPBPBPBP,PBBBPB,10
BPPPPB,BPBPBPBPBP,PPBPPB,10
PBBPPP,PBPBPBPBPB,PBPBPB,10
BPPBBP,PBPBPBPBPB,PBBPBB,10
PBPBPB,BPBPBPBPBP,PBPBBP,10
BPPBBB,BPBPBPBPBP,PBBPBP,10
PBPBPB,BPBPBPBPBP,PPBPPB,10
BPBBPP,PBPBPBPBPB,BPBBPB,10
PBBBPP,PBPBPBPBPB,PPBBBB,10
BPBPBP,PBPBPBPBPB,BPBPBP,10
BPBPBP,PBPBPBPBPB,BPBPBP,10
PPBBPP,PBPBPBPBPB,BBBPBP,10
PBPBBB,BPBPBPBPBP,PPPBPB,10
PPBBPP,PBPBPBPBPB,BBBPBP,10
PBPBBB,BPBPBPBPBP,PPPBPB,10
BBPBBP,PBPBPBPBPB,BBBPBP,10
BBPBBP,PBPBPBPBPB,BBBPBP,10
BPPBPP,PBPBPBPBPB,PPPPBP,10
PBBBPB,BPBPBPBPBP,BBBBBB,10
PPBPPB,BPBPBPBPBP,BPPPBP,10
BPPPPB,BPBPBPBPBP,BPBBBP,10
BPPPPB,BPBPBPBPBP,PBPBBB,10
BPBPPP,PBPBPBPBPB,PPPPBB,10
PPPBBP,PBPBPBPBPB,BBBPBB,10
PPPBPP,PBPBPBPBPB,BPPPPB,10
PPPBPB,BPBPBPBPBP,BBPPBB,10
PBBBPP,PBPBPBPBPB,BBBBPB,10
BPBBBB,BPBPBPBPBP,PBBBPB,10
BBPPBB,BPBPBPBPBP,PBPBBP,10
BBBBPB,BPBPBPBPBP,PBBPBP,10
BBBBPP,PBPBPBPBPB,PBPBBB,10
BBBBPP,PBPBPBPBPB,PBPBBB,10
BBBPPB,BPBPBPBPBP,PBPPBP,10
PPBPPB,BPBPBPBPBP,BBPPBP,10
BBBPPP,PBPBPBPBPB,PPPPPB,10
BBBPPP,PBPBPBPBPB,PPPPPB,10
BBBPPP,PBPBPBPBPB,PPPPPB,10
BPPPPB,BPBPBPBPBP,BBPBBP,10
PPPBBP,PBPBPBPBPB,BPBPBP,10
BBBPBB,BPBPBPBPBP,PPBPPP,10
BPBBPP,PBPBPBPBPB,PBPPPB,10
PBPBBB,BPBPBPBPBP,BPBPBP,10
PPBPBB,BPBPBPBPBP,BPBPPB,10
BPBPPB,BPBPBPBPBP,PBBBBP,10
BPBPPB,BPBPBPBPBP,PBBBBP,10
PPPPPB,BPBPBPBPBP,PPPBPB,10
BPPPPB,BPBPBPBPBP,BPPBPB,10
BPPBBB,BPBPBPBPBP,PBBBPB,10
PBBBBP,PBPBPBPBPB,BPPBPB,10
PPBPBP,PBPBPBPBPB,PBBBPP,10
PBBPBP,PBPBPBPBPB,PPPPPP,10
BBBBPP,PBPBPBPBPB,PBPBBP,10
BBBPPP,PBPBPBPBPB,BPPPBP,10
BBPPBB,BPBPBPBPBP,PPBBPP,10
BPPBPB,BPBPBPBPBP,PPPPBP,10
BBBPBB,BPBPBPBPBP,PPBPPB,10
PPBBPP,PBPBPBPBPB,BBBBPB,10
PBBPPP,PBPBPBPBPB,BPPPBP,10
BPBBPP,PBPBPBPBPB,BPPBBP,10
BPBBPP,PBPBPBPBPB,BPPBBP,10
PBBPBP,PBPBPBPBPB,BPBPBP,10
PBPBPB,BPBPBPBPBP,BPBPPB,10
PPBPPB,BPBPBPBPBP,BPBPBP,10
PPBPPB,BPBPBPBPBP,BPBPBP,10
