before,no_column,after,length
BPBPBB,BPBPBPBPBP,PPPPPP,10
BBBBPP,PBPBPBPBPB,BBBBBP,10
PPBPBB,BPBPBPBPBP,BBPPBB,10
BPBBBB,BPBPBPBPBP,BPPPBB,10
PBBPBB,BPBPBPBPBP,BPPPPB,10
BPPPBB,BPBPBPBPBP,PPBBPB,10
PBPBBB,BPBPBPBPBP,BPBBBP,10
PBPBBB,BPBPBPBPBP,BPBBBP,10
BPPBPB,BPBPBPBPBP,PBBPPP,10
BPBPBP,PBPBPBPBPB,BBBBPB,10
BBBPBP,PBPBPBPBPB,BBBBBP,10
PBBPPP,PBPBPBPBPB,PBPBBB,10
BBPPBP,PBPBPBPBPB,BPPBPB,10
PBPBPP,PBPBPBPBPB,PPBPPP,10
BBBPBB,BPBPBPBPBP,PBBPPP,10
BPBBPP,PBPBPBPBPB,PPPPBB,10
BBPBPP,PBPBPBPBPB,BBBBBP,10
BPBBPP,PBPBPBPBPB,PBPBBB,10
BBBBBB,BPBPBPBPBP,BPBPBB,10
PBBPPB,BPBPBPBPBP,PPBPBP,10
BBPPBP,PBPBPBPBPB,PBPBBP,10
BBBPPP,PBPBPBPBPB,PPBBPP,10
BPBPBB,BPBPBPBPBP,BBBBPB,10
BBPPPB,BPBPBPBPBP,BBPPBP,10
BBBBBP,PBPBPBPBPB,BPBPBP,10
BBBPBP,PBPBPBPBPB,PBBBPP,10
BBBBPP,PBPBPBPBPB,PBBPBB,10
BPBBPB,BPBPBPBPBP,PPPPBP,10
BBBPBP,PBPBPBPBPB,PBBBPB,10
PBBBBB,BPBPBPBPBP,PPBBBP,10
PBBPPP,PBPBPBPBPB,PBPPBB,10
BBBPBB,BPBPBPBPBP,BBPBBP,10
PBPBPP,PBPBPBPBPB,BBPPPB,10
BPBBBB,BPBPBPBPBP,PBPPPP,10
BPPPPB,BPBPBPBPBP,BPPPPB,10
BBPPBB,BPBPBPBPBP,PBPBPB,10
BPBPBP,PBPBPBPBPB,BPBPPB,10
PBBPPP,PBPBPBPBPB,BPBPBB,10
BBBBBP,PBPBPBPBPB,PBBPPB,10
BBPBPB,BPBPBPBPBP,PBPBPP,10
BPPBBB,BPBPBPBPBP,BPBPBP,10
BPPPPB,BPBPBPBPBP,BBPBPP,10
PPPPBB,BPBPBPBPBP,PPPBBB,10
PPPPBB,BPBPBPBPBP,PBBPPB,10
BBPBBB,BPBPBPBPBP,PPPBBB,10
BBBPBP,PBPBPBPBPB,BBPBBB,10
PPPPBP,PBPBPBPBPB,PBPPPB,10
PBPBBP,PBPBPBPBPB,PBPPPP,10
BBPPBP,PBPBPBPBPB,BBPBBB,10
BPPPPB,BPBPBPBPBP,PBBBBB,10
BBBBPB,BPBPBPBPBP,BPPPBB,10
PPPPBB,BPBPBPBPBP,PPBBBB,10
BBBPPP,PBPBPBPBPB,PPBBBB,10
BBPBBP,PBPBPBPBPB,BBPBBP,10
PPPBBP,PBPBPBPBPB,PPPBPB,10
PBBPBP,PBPBPBPBPB,BBPBPP,10
PPPPPP,PBPBPBPBPB,PBBBPP,10
PPPBBB,BPBPBPBPBP,PPBPBP,10
PPBPPP,PBPBPBPBPB,PBBBBB,10
BPPBBP,PBPBPBPBPB,BPPBPP,10
PPPBPP,PBPBPBPBPB,BPPPBB,10
BPBBBB,BPBPBPBPBP,BBPPBP,10
PPPPBP,PBPBPBPBPB,BBBBPP,10
PBPBBP,PBPBPBPBPB,BBBPBP,10
PPPPPP,PBPBPBPBPB,PBPPBP,10
PPPPBB,BPBPBPBPBP,BBBBBP,10
PPBPPB,BPBPBPBPBP,PBBPBP,10
BPPBBP,PBPBPBPBPB,PBBPBP,10
BBPBPP,PBPBPBPBPB,BBPBBP,10
BPPPPB,BPBPBPBPBP,PPBPPP,10
BBBPBP,PBPBPBPBPB,PBBBPP,10
BPPBPB,BPBPBPBPBP,PBBBBB,10
PPBPPP,PBPBPBPBPB,BBBBBP,10
BBPBPB,BPBPBPBPBP,BBBBPP,10
BPPBBB,BPBPBPBPBP,PBPPBB,10
BPBBPB,BPBPBPBPBP,BPPBPP,10
PPBPPB,BPBPBPBPBP,BBPPPB,10
BBBPPP,PBPBPBPBPB,BPPBBP,10
BBBBBB,BPBPBPBPBP,PBPPBP,10
PPPBPP,PBPBPBPBPB,PPBBBP,10
BBPPPP,PBPBPBPBPB,BPBBBP,10
BPBPBB,BPBPBPBPBP,PPBPPP,10
BPPPPP,PBPBPBPBPB,PBPPBP,10
BPPPPP,PBPBPBPBPB,PPBBPP,10
PBPPBP,PBPBPBPBPB,BPBPPB,10
PBBBBP,PBPBPBPBPB,PPPBPP,10
PBBPBB,BPBPBPBPBP,BPBPBB,10
PPPPBB,BPBPBPBPBP,BBPPPB,10
BPBBBB,BPBPBPBPBP,PPPPPP,10
PPPPBB,BPBPBPBPBP,PPPPBB,10
PBPBBP,PBPBPBPBPB,PPPBPP,10
PBBPBB,BPBPBPBPBP,PPBPPB,10
BPBPBP,PBPBPBPBPB,PPBPBB,10
PBPBBP,PBPBPBPBPB,BBPPPB,10
PBBPBP,PBPBPBPBPB,BPBBBB,10
PBBBBB,BPBPBPBPBP,PPBBBB,10
BBPPPP,PBPBPBPBPB,PPBBPP,10
BBBBBB,BPBPBPBPBP,PPBPBB,10
BBBPPB,BPBPBPBPBP,PPPBPP,10
PPBPPB,BPBPBPBPBP,BPBPPB,10
PPBBPP,PBPBPBPBPB,PPPBBB,10
PPPPPP,PBPBPBPBPB,BPPPPB,10
BPPPPP,PBPBPBPBPB,BPPBBP,10
PPBPBB,BPBPBPBPBP,BPBPPP,10
PPBPBP,PBPBPBPBPB,PBPPBB,10
BBBPPB,BPBPBPBPBP,BPBPBP,10
BBPBBP,PBPBPBPBPB,PBPPPP,10
BBPPPB,BPBPBPBPBP,PBBPBB,10
PPPPPB,BPBPBPBPBP,BBBPBP,10
BBBBBP,PBPBPBPBPB,PPPBBB,10
PBBPBP,PBPBPBPBPB,BPBBBP,10
PBPPBB,BPBPBPBPBP,BPPBPB,10
BPBPPP,PBPBPBPBPB,PBPBPB,10
BPBPPP,PBPBPBPBPB,PBPBPB,10
BPBBBB,BPBPBPBPBP,BBPBBP,10
BPPBBP,PBPBPBPBPB,BBPPBP,10
BBPPPP,PBPBPBPBPB,BBPBPP,10
PPPBBB,BPBPBPBPBP,PPBPPB,10
PBPPBB,BPBPBPBPBP,PPPPPB,10
PBPBPP,PBPBPBPBPB,BPPPPB,10
PPPBBP,PBPBPBPBPB,BBBPBB,10
BPPPBP,PBPBPBPBPB,BBBBBP,10
BPBPBP,PBPBPBPBPB,BBPPPP,10
PBPBPB,BPBPBPBPBP,BPPPBP,10
PBBBPB,BPBPBPBPBP,PBPPPP,10
BPBPPP,PBPBPBPBPB,BBBPBB,10
BPBPBB,BPBPBPBPBP,BPPBBP,10
PPPBBP,PBPBPBPBPB,BBBBBP,10
BBBPPP,PBPBPBPBPB,PPPPBP,10
PBPPPP,PBPBPBPBPB,PPPPPB,10
BBPPBP,PBPBPBPBPB,PBBBBB,10
PBBBBB,BPBPBPBPBP,BBBPPP,10
BBPPBB,BPBPBPBPBP,BBBPPP,10
PBBPBB,BPBPBPBPBP,PBPPPB,10
PPPBPB,BPBPBPBPBP,PBBBPB,10
PPBPPB,BPBPBPBPBP,BBBPPB,10
PBPPBB,BPBPBPBPBP,PBBPPB,10
PBBPBP,PBPBPBPBPB,BBBBBB,10
PBPPBB,BPBPBPBPBP,BPPBBP,10
BPBBBB,BPBPBPBPBP,BPBBBB,10
BPBBPB,BPBPBPBPBP,PBBPPP,10
PPPBBP,PBPBPBPBPB,BPPBPP,10
BPPBBB,BPBPBPBPBP,BBPPBB,10
PPPBBB,BPBPBPBPBP,PPBPPP,10
BBPPBP,PBPBPBPBPB,BBBBPB,10
PPPBBB,BPBPBPBPBP,PBBPBP,10
BBBPBP,PBPBPBPBPB,BPPPPB,10
PBBPBB,BPBPBPBPBP,PPPBPP,10
BPPPPB,BPBPBPBPBP,BPPBPP,10
BPPPBP,PBPBPBPBPB,PPPBPB,10
PPBPPP,PBPBPBPBPB,BBBPBB,10
BPPBBB,BPBPBPBPBP,BPPPPP,10
BPPPPB,BPBPBPBPBP,BBPPPB,10
BPPPPB,BPBPBPBPBP,BBBBBB,10
PBBBBB,BPBPBPBPBP,PBPPPB,10
PPBBPP,PBPBPBPBPB,BBPBBP,10
BBBPPB,BPBPBPBPBP,PBPBPB,10
BBBBPB,BPBPBPBPBP,BBBBBP,10
PPPBPB,BPBPBPBPBP,PBBPBB,10
BBPPPB,BPBPBPBPBP,BBPPPP,10
BPPBPB,BPBPBPBPBP,BBPBPP,10
PBPPPB,BPBPBPBPBP,PBBPBB,10
PBBBBP,PBPBPBPBPB,PPBBBP,10
PBBPPB,BPBPBPBPBP,BBPBBB,10
PBBBBB,BPBPBPBPBP,BBPPPP,10
BBBPPP,PBPBPBPBPB,BPPPPB,10
PPPPPP,PBPBPBPBPB,PBBBPP,10
PPBBBB,BPBPBPBPBP,BBPPBB,10
BPBPBP,PBPBPBPBPB,BBPBBB,10
BPBBBB,BPBPBPBPBP,PBPBPB,10
PBPPPB,BPBPBPBPBP,BPBPPP,10
PPBBPP,PBPBPBPBPB,BPPBPB,10
PPPPBB,BPBPBPBPBP,BBBPPB,10
BBBBBP,PBPBPBPBPB,PBBPPP,10
PPPBBB,BPBPBPBPBP,BBBPBB,10
BBPBBP,PBPBPBPBPB,BBBBBB,10
PPBBPB,BPBPBPBPBP,PPPPBB,10
PPPBBB,BPBPBPBPBP,PBBPBB,10
PPBPBB,BPBPBPBPBP,BPPPPP,10
BBBPPB,BPBPBPBPBP,BPBBPP,10
BPPBPB,BPBPBPBPBP,BBPBBB,10
PPPBPB,BPBPBPBPBP,PBBBPB,10
BPPPPB,BPBPBPBPBP,PBBBPB,10
PBPPBP,PBPBPBPBPB,BPPPPP,10
BBPBPB,BPBPBPBPBP,PPBBBP,10
PBBBPP,PBPBPBPBPB,PPBBPB,10
BPPPBB,BPBPBPBPBP,BBBBBP,10
PBPPPP,PBPBPBPBPB,PPBBPP,10
PPPBPB,BPBPBPBPBP,BBBPPB,10
BBPPPB,BPBPBPBPBP,BPPPBP,10
BPBBBP,PBPBPBPBPB,PBPPPP,10
PPPBBB,BPBPBPBPBP,PPBPPP,10
BPBPBP,PBPBPBPBPB,BPPBPP,10
PPBPPB,BPBPBPBPBP,PPPPBP,10
BBPBBP,PBPBPBPBPB,PBPPBP,10
BPBBBP,PBPBPBPBPB,BPBBPB,10
BBPPPP,PBPBPBPBPB,PPBPBP,10
BBBPPB,BPBPBPBPBP,BPBBBB,10
BBBBPB,BPBPBPBPBP,BBPBPB,10
PBPPBB,BPBPBPBPBP,PPBBBB,10
BPPPPB,BPBPBPBPBP,BPPBPB,10
BPPPBP,PBPBPBPBPB,BBBPPB,10
BBBPPP,PBPBPBPBPB,BBPBBB,10
BPBPBP,PBPBPBPBPB,BBBPPP,10
PBBBBB,BPBPBPBPBP,PPPPBP,10
PBPBBP,PBPBPBPBPB,BPPBPP,10
BPBPBP,PBPBPBPBPB,PPBPPB,10
PPBPBP,PBPBPBPBPB,BBBBBB,10
PPBBBB,BPBPBPBPBP,PBPPPB,10
PPBBPB,BPBPBPBPBP,BBPBBP,10
PPBBPB,BPBPBPBPBP,BBPBBP,10
PPPBBB,BPBPBPBPBP,PBPPPP,10
BBBBBB,BPBPBPBPBP,PBPBBP,10
BBBBPP,PBPBPBPBPB,PPPPBB,10
BBBBPP,PBPBPBPBPB,PBPBPB,10
PBPPBB,BPBPBPBPBP,PPBPPB,10
PBBBBP,PBPBPBPBPB,BPPBPP,10
PPPPBP,PBPBPBPBPB,BBBPBB,10
PPPPBP,PBPBPBPBPB,BPBPPP,10
BBPBBB,BPBPBPBPBP,PBPBBB,10
PBPBPB,BPBPBPBPBP,BPBPPP,10
PPBPBP,PBPBPBPBPB,PBPBPP,10
PPPBBP,PBPBPBPBPB,PBPPPB,10
BBPBPP,PBPBPBPBPB,PPPPBP,10
PBBPPB,BPBPBPBPBP,PPPBBP,10
PBBBPP,PBPBPBPBPB,BPBBBB,10
PPBBPB,BPBPBPBPBP,BBBPPB,10
BPBPBB,BPBPBPBPBP,PBPBBP,10
BBBPBB,BPBPBPBPBP,BPBBPB,10
PBBBPB,BPBPBPBPBP,PBPPPP,10
BPPPPB,BPBPBPBPBP,BBBBPP,10
BBPPBB,BPBPBPBPBP,PPBBBB,10
PBBBBP,PBPBPBPBPB,BBBPBP,10
PPPBPP,PBPBPBPBPB,BPBPPB,10
PPBBPP,PBPBPBPBPB,PBBPBB,10
PBBBPP,PBPBPBPBPB,PPPPPP,10
BBBBBB,BPBPBPBPBP,PPBBPB,10
BBBBBB,BPBPBPBPBP,PPBBPB,10
BPBPPB,BPBPBPBPBP,BBBPPP,10
BPBPPB,BPBPBPBPBP,BBPBBB,10
BBBPPP,PBPBPBPBPB,PBBPPB,10
PBPBPP,PBPBPBPBPB,PPBPBB,10
BBBBPP,PBPBPBPBPB,BPBBPP,10
PPBPBP,PBPBPBPBPB,BPBPPP,10
BPPBBB,BPBPBPBPBP,BBBPBB,10
PPBBBB,BPBPBPBPBP,BBPBPP,10
PPPPPP,PBPBPBPBPB,PBPBBB,10
BBPPPB,BPBPBPBPBP,BBBBBB,10
PPPBBB,BPBPBPBPBP,PPPPPB,10
PPPPBB,BPBPBPBPBP,PBPBBB,10
BPBBBB,BPBPBPBPBP,PBPBPB,10
PPBPPP,PBPBPBPBPB,BBBPBB,10
PPBPPB,BPBPBPBPBP,PBPPPB,10
BPBBBP,PBPBPBPBPB,BPBPBP,10
PBBPBP,PBPBPBPBPB,BBPBBB,10
PPPPBB,BPBPBPBPBP,PPPPBB,10
PPBBBB,BPBPBPBPBP,BPBPPP,10
BPBBBP,PBPBPBPBPB,BPBPBB,10
PBBPBP,PBPBPBPBPB,BBBPBB,10
BBBPPB,BPBPBPBPBP,BBBPPB,10
BPPBBP,PBPBPBPBPB,BBBPPB,10
BPBPBP,PBPBPBPBPB,BPBPPB,10
BPBPBP,PBPBPBPBPB,PBPBPP,10
BPPPPP,PBPBPBPBPB,PPBPPB,10
BBBPBB,BPBPBPBPBP,BPBPPB,10
PPBPBB,BPBPBPBPBP,PBBBBB,10
PBPPBB,BPBPBPBPBP,BPPBBB,10
PBBPBP,PBPBPBPBPB,PBBBPB,10
PBBPBP,PBPBPBPBPB,PBBBPB,10
BBPBPB,BPBPBPBPBP,PBBBPP,10
PPBPPP,PBPBPBPBPB,BPPPBB,10
PPBPPB,BPBPBPBPBP,BBBBPP,10
PPPPPP,PBPBPBPBPB,PBPPBP,10
PPPBPP,PBPBPBPBPB,PBBBPB,10
BBPPPB,BPBPBPBPBP,BPBPBP,10
PPPPPP,PBPBPBPBPB,BPPBBB,10
PBBPPB,BPBPBPBPBP,PPPPPP,10
BBBPPP,PBPBPBPBPB,BPPPBP,10
BPPBBP,PBPBPBPBPB,BPBPPP,10
PBPPPP,PBPBPBPBPB,PPBPPB,10
BPPBBB,BPBPBPBPBP,BPBBBP,10
BBPBPB,BPBPBPBPBP,PBBPPP,10
BBPBPB,BPBPBPBPBP,PBBPPP,10
PPPPPB,BPBPBPBPBP,PPBPPB,10
PBBPPP,PBPBPBPBPB,PBBPPB,10
BBBBPP,PBPBPBPBPB,PPPPPP,10
BPPPBP,PBPBPBPBPB,BBBPPB,10
BPBPPP,PBPBPBPBPB,PPBBBB,10
PBBBBB,BPBPBPBPBP,BPBPBP,10
BPPBBP,PBPBPBPBPB,BPBBPB,10
PPBPPB,BPBPBPBPBP,BPPPBB,10
PBBPBP,PBPBPBPBPB,BBPPPP,10
PBBPBP,PBPBPBPBPB,BBPPPP,10
PBPPBP,PBPBPBPBPB,PBBBPB,10
PBBBPP,PBPBPBPBPB,PBBPBP,10
PBBBPP,PBPBPBPBPB,PBBPBP,10
BBBPBB,BPBPBPBPBP,PBBPPP,10
BPBBPB,BPBPBPBPBP,BPBPPB,10
BPBPPP,PBPBPBPBPB,PPBPPB,10
BPBPPP,PBPBPBPBPB,PPBPPB,10
PPPBBB,BPBPBPBPBP,PPBBPP,10
BBPBBP,PBPBPBPBPB,BPBPPP,10
PBBPBP,PBPBPBPBPB,BPPPPP,10
BBBPPB,BPBPBPBPBP,BPBPPB,10
PPBBBB,BPBPBPBPBP,PPBPPB,10
PBPBPB,BPBPBPBPBP,PPPBBB,10
PBBBBB,BPBPBPBPBP,BPPBBP,10
PPBPBP,PBPBPBPBPB,BPPBPB,10
PPBPBP,PBPBPBPBPB,BPPBPB,10
BPPPPP,PBPBPBPBPB,PBPPPB,10
PBPBBP,PBPBPBPBPB,PPPBPB,10
PBPBBP,PBPBPBPBPB,PPPBPB,10
PBPBBP,PBPBPBPBPB,PPPBPB,10
PBPPBP,PBPBPBPBPB,PBBBPB,10
PBBBBB,BPBPBPBPBP,BPBPPB,10
PBBPBB,BPBPBPBPBP,BPBBBB,10
PBBBBP,PBPBPBPBPB,BPBPBP,10
PPBPPP,PBPBPBPBPB,PBPPBP,10
PPBPPP,PBPBPBPBPB,PBPPBP,10
PPPBBB,BPBPBPBPBP,BBPBPB,10
PPPPBP,PBPBPBPBPB,PBBBPP,10
BPPBPP,PBPBPBPBPB,BPBPPB,10
BPBBPB,BPBPBPBPBP,BBPPPB,10
BBBBPB,BPBPBPBPBP,PPBPPB,10
BBPBBB,BPBPBPBPBP,BPPBBB,10
BBBBPB,BPBPBPBPBP,PBPPBP,10
BBBBBB,BPBPBPBPBP,PBPBPP,10
PPBPPP,PBPBPBPBPB,PPBBBP,10
PPBBPB,BPBPBPBPBP,PPPBPP,10
PBPPPB,BPBPBPBPBP,BPPPPB,10
PBPPBP,PBPBPBPBPB,PBPBBP,10
PPBBBB,BPBPBPBPBP,BBBPPP,10
PBPPPP,PBPBPBPBPB,PPPPBB,10
BPBBPB,BPBPBPBPBP,BBPPPB,10
BPBBBP,PBPBPBPBPB,BPPPPB,10
BBPBBP,PBPBPBPBPB,BPPPPB,10
BBPBBP,PBPBPBPBPB,BPPPPB,10
BBBBPB,BPBPBPBPBP,BPPPPB,10
BBBBBP,PBPBPBPBPB,PBBPBP,10
PPBBBP,PBPBPBPBPB,PPPPPP,10
BBPPBB,BPBPBPBPBP,PPBBPB,10
PBPBPP,PBPBPBPBPB,PBBBBB,10
BPPPBB,BPBPBPBPBP,BPPBBB,10
PBPBPP,PBPBPBPBPB,BPBPPB,10
BBPBPP,PBPBPBPBPB,PPPPBP,10
BBPPBP,PBPBPBPBPB,PPBPPB,10
PPBBBP,PBPBPBPBPB,PBPPPB,10
PBPBBB,BPBPBPBPBP,PBPBPB,10
BPBPBB,BPBPBPBPBP,PPPPBB,10
PPPPBB,BPBPBPBPBP,BPPBBP,10
BBPBBP,PBPBPBPBPB,PBPPPP,10
PBPBBP,PBPBPBPBPB,PPPPBP,10
PPBBPP,PBPBPBPBPB,BPPPBB,10
BPBBBB,BPBPBPBPBP,PPPPBB,10
BBBPBP,PBPBPBPBPB,PPPBPB,10
BBBPBP,PBPBPBPBPB,PPPBPB,10
BPPPBP,PBPBPBPBPB,PBPPPB,10
BPPPBP,PBPBPBPBPB,PBPPPB,10
BPPPBB,BPBPBPBPBP,PBPPBP,10
PBPPBP,PBPBPBPBPB,BBBPBB,10
PBPPBP,PBPBPBPBPB,BBBPBB,10
BPBPPB,BPBPBPBPBP,PPBPBB,10
PBBBPP,PBPBPBPBPB,PPPPPB,10
BPPBPB,BPBPBPBPBP,BBPBPP,10
BPBPBP,PBPBPBPBPB,BPBPPB,10
PPBBBB,BPBPBPBPBP,BPPPBB,10
BBBBPB,BPBPBPBPBP,BBBPPP,10
PPBBPP,PBPBPBPBPB,BPBPBP,10
BBPBBB,BPBPBPBPBP,PPBPBP,10
BBPBBB,BPBPBPBPBP,PPBPBP,10
PPPPBP,PBPBPBPBPB,PBPBBB,10
BBBPBP,PBPBPBPBPB,PPBPPB,10
PPPPBP,PBPBPBPBPB,BBPBPB,10
BBBPBB,BPBPBPBPBP,BPPBPP,10
BPPBPB,BPBPBPBPBP,PPPPBB,10
PBPBBP,PBPBPBPBPB,PPPBPB,10
PPBPBB,BPBPBPBPBP,PPBBPP,10
PBBBPP,PBPBPBPBPB,PPPPBB,10
PPBPPB,BPBPBPBPBP,PBBPPP,10
BBPBBP,PBPBPBPBPB,BBPPBB,10
PPBBBP,PBPBPBPBPB,PBPBBP,10
BPBBBB,BPBPBPBPBP,PPBBPB,10
PPBPBB,BPBPBPBPBP,PBBBBB,10
PBPPPB,BPBPBPBPBP,BPPPPB,10
BPBBBP,PBPBPBPBPB,PBBBBP,10
PBPPPP,PBPBPBPBPB,PBPPPB,10
BBBPPP,PBPBPBPBPB,BPBBBP,10
BPPBPB,BPBPBPBPBP,PBBPBB,10
PBPBPB,BPBPBPBPBP,BBBBBP,10
PBBPBP,PBPBPBPBPB,PPPBBB,10
PBPBBP,PBPBPBPBPB,BPBBBP,10
PPPPPB,BPBPBPBPBP,PPBBBP,10
BPBPBP,PBPBPBPBPB,BPBBPB,10
PBBPPP,PBPBPBPBPB,BPBPBP,10
PBBBBP,PBPBPBPBPB,BBBPBP,10
BBBBBP,PBPBPBPBPB,PBPBPP,10
PBBPBP,PBPBPBPBPB,PPBPBB,10
PBBPBP,PBPBPBPBPB,PPBPBB,10
PPBPBB,BPBPBPBPBP,BPBPBP,10
BBPPBB,BPBPBPBPBP,PBPBPB,10
BBBPBP,PBPBPBPBPB,PPPBBB,10
BBBPBP,PBPBPBPBPB,PPPBBB,10
BBPBBB,BPBPBPBPBP,BPPPBP,10
PBPPBP,PBPBPBPBPB,PPBBPP,10
PBBBBP,PBPBPBPBPB,BPPPBP,10
BBPBPP,PBPBPBPBPB,BPPBPB,10
BPBBPB,BPBPBPBPBP,BBBPBB,10
BBPPBB,BPBPBPBPBP,BBBBBB,10
BPBBBB,BPBPBPBPBP,BPPPPP,10
BBBPBB,BPBPBPBPBP,PBPPPB,10
BPPPBP,PBPBPBPBPB,PPPBPP,10
PBPBBP,PBPBPBPBPB,PBBPPB,10
BPPBPP,PBPBPBPBPB,BPBBPB,10
BPPBBP,PBPBPBPBPB,PBPBBP,10
BPPBBP,PBPBPBPBPB,PBPBBP,10
BBBPBP,PBPBPBPBPB,BBPBPB,10
PPPPBP,PBPBPBPBPB,PBPPPB,10
PPBBBB,BPBPBPBPBP,BBPPPP,10
PPBPPP,PBPBPBPBPB,PPPBPP,10
PBBPPP,PBPBPBPBPB,PBPPBB,10
PBBPBP,PBPBPBPBPB,BPBPPB,10
PBBPBP,PBPBPBPBPB,BPBPPB,10
